来源,站点,井号,计量间,测点类型,完整路径
pPluse,CY1C7K,G138V395,JD010707,ADL,/CY1C7K/G138V395/JD010707G138V395ADL
pPluse,CY1C7K,G138V395,JD010707,ADY,/CY1C7K/G138V395/JD010707G138V395ADY
pPluse,CY1C7K,G138V395,JD010707,BDL,/CY1C7K/G138V395/JD010707G138V395BDL
pPluse,CY1C7K,G138V395,JD010707,BDY,/CY1C7K/G138V395/JD010707G138V395BDY
pPluse,CY1C7K,G138V395,JD010707,CDL,/CY1C7K/G138V395/JD010707G138V395CDL
pPluse,CY1C7K,G138V395,JD010707,CDY,/CY1C7K/G138V395/JD010707G138V395CDY
pPluse,CY1C7K,G138V395,JD010707,CHC,/CY1C7K/G138V395/JD010707G138V395CHC
pPluse,CY1C7K,G138V395,JD010707,CPV,/CY1C7K/G138V395/JD010707G138V395CPV
pPluse,CY1C7K,G138V395,JD010707,CZT,/CY1C7K/G138V395/JD010707G138V395CZT
pPluse,CY1C7K,G138V395,JD010707,DCV,/CY1C7K/G138V395/JD010707G138V395DCV
pPluse,CY1C7K,G138V395,JD010707,DWL,/CY1C7K/G138V395/JD010707G138V395DWL
pPluse,CY1C7K,G138V395,JD010707,EGT,/CY1C7K/G138V395/JD010707G138V395EGT
pPluse,CY1C7K,G138V395,JD010707,GYS,/CY1C7K/G138V395/JD010707G138V395GYS
pPluse,CY1C7K,G138V395,JD010707,HGT,/CY1C7K/G138V395/JD010707G138V395HGT
pPluse,CY1C7K,G138V395,JD010707,RCV,/CY1C7K/G138V395/JD010707G138V395RCV
pPluse,CY1C7K,G138V395,JD010707,SLV,/CY1C7K/G138V395/JD010707G138V395SLV
pPluse,CY1C7K,G138V395,JD010707,TGP,/CY1C7K/G138V395/JD010707G138V395TGP
pPluse,CY1C7K,G138V395,JD010707,TGT,/CY1C7K/G138V395/JD010707G138V395TGT
pPluse,CY1C7K,G138V395,JD010707,UCV,/CY1C7K/G138V395/JD010707G138V395UCV
pPluse,CY1C7K,G138V395,JD010707,UWL,/CY1C7K/G138V395/JD010707G138V395UWL
pPluse,CY1C7K,G138V395,JD010707,ZHL,/CY1C7K/G138V395/JD010707G138V395ZHL
pPluse,CY1C7K,G138V395,JD010707,ZWG,/CY1C7K/G138V395/JD010707G138V395ZWG
pPluse,CY1C7K,G138V395,JD010707,ZYG,/CY1C7K/G138V395/JD010707G138V395ZYG
pPluse,CY1C7K,G138VS405,JD010707,ADL,/CY1C7K/G138VS405/JD010707G138VS405ADL
pPluse,CY1C7K,G138VS405,JD010707,ADY,/CY1C7K/G138VS405/JD010707G138VS405ADY
pPluse,CY1C7K,G138VS405,JD010707,BDL,/CY1C7K/G138VS405/JD010707G138VS405BDL
pPluse,CY1C7K,G138VS405,JD010707,BDY,/CY1C7K/G138VS405/JD010707G138VS405BDY
pPluse,CY1C7K,G138VS405,JD010707,EGT,/CY1C7K/G138VS405/JD010707G138VS405EGT
pPluse,CY1C7K,G138VS405,JD010707,RCV,/CY1C7K/G138VS405/JD010707G138VS405RCV
pPluse,CY1C7K,G138VS405,JD010707,SLV,/CY1C7K/G138VS405/JD010707G138VS405SLV
pPluse,CY1C7K,G138VS405,JD010707,ZWG,/CY1C7K/G138VS405/JD010707G138VS405ZWG
