类型标示,英文解释,中文解释,信息体描述字节1值,信息体描述字节1字符串,信息体描述字节2值,信息体描述字节2字符串,年,月,日,时,分,秒,毫秒,信息体地址
45,C_SC_NA_1,单点遥控,0x00,SCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
46,C_DC_NA_1,双点遥控,0x00,DCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
47,C_RC_NA_1,升降命令 ,0x00,RCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
48,C_SE_NA_1 ,设定规一化值命令,0x0000,NAV(1-2),0x00,QOS,-1,-1,-1,-1,-1,-1,-1,0
49,C_SE_NB_1 ,设定比例系数值命令,0x0000,NAV(1-2),0x00,QOS,-1,-1,-1,-1,-1,-1,-1,0
50,C_SE_NC_1 ,设定浮点数值命令,0x00000000,STD(1-4),0x00,QOS,-1,-1,-1,-1,-1,-1,-1,0
51,C_BO_NA_1,32位比特串,0x00000000,BSI(1-4),-1,-1,-1,-1,-1,-1,-1,-1,-1,0
100,C_IC_NA_1 ,总召唤,0x14,QOI,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
101,C_CI_NA_1 ,电能脉冲召唤命令,0x00,QCC,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
102,C_RD_NA_1 ,读数据命令,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
103,C_CS_NA_1 ,时钟同步命令,-1,-1,-1,-1,0,0,0,0,0,0,0,0
104,C_TS_NA_1 ,测试命令 ,0x55aa,FBP(1-2),-1,-1,-1,-1,-1,-1,-1,-1,-1,0
105,C_RP_NA_1 ,复位进程命令,0x00,QRP,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
106,C_CD_NA_1 ,延时获得命令,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
