类型标示,英文解释,中文解释,信息体描述字节1值,信息体描述字节1字符串,信息体描述字节2值,信息体描述字节2字符串,年,月,日,时,分,秒,毫秒,信息体地址
1,M_SP_NA_1 ,单点遥信变位  ,0x00,SIQ,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
2,M_SP_TA_1 ,单点遥信变位短时标,0x00,SIQ,-1,-1,-1,-1,-1,-1,0,0,0,0
3,M_DP_NA_1 ,双点遥信变位,0x00,DIQ,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
4,M_DP_TA_1 ,双点遥信变位短时标,0x00,DIQ,-1,-1,-1,-1,-1,-1,0,0,0,0
5,M_ST_NA_1 ,步长位置信息,0x00,VIT,0x00,QDS,-1,-1,-1,-1,-1,-1,-1,0
6,M_ST_TA_1 ,带短时标的步长位置信息 ,0x00,VIT,0x00,QDS,-1,-1,-1,-1,0,0,0,0
7,M_BO_NA_1 ,32位比特串,0x00000000,BSI(1-4),0x00,QDS,-1,-1,-1,-1,-1,-1,-1,0
8,M_BO_TA_1 ,带短时标的32位比特串,0x00000000,BSI(1-4),0x00,QDS,-1,-1,-1,-1,0,0,0,0
9,M_ME_NA_1 ,带品质描述的规一化值,0x0000,NVA(1-2),0x00,QDS,-1,-1,-1,-1,-1,-1,-1,0
10,M_ME_TA_1 ,带短时标带品质描述的规一化值,0x0000,NVA(1-2),0x00,QDS,-1,-1,-1,-1,0,0,0,0
11,M_ME_NB_1 ,带品质描述的比例系数,0x0000,SVA(1-2),0x00,QDS,-1,-1,-1,-1,-1,-1,-1,0
12,M_ME_TB_1 ,带短时标带品质描述的比例系数,0x0000,SVA(1-2),0x00,QDS,-1,-1,-1,-1,0,0,0,0
13,M_ME_NC_1 ,短浮点数,0x00000000,STD(1-4),0x00,QDS,-1,-1,-1,-1,-1,-1,-1,0
14,M_ME_TC_1 ,带短时标的短浮点数,0x00000000,STD(1-4),0x00,QDS,-1,-1,-1,-1,0,0,0,0
15,M_IT_NA_1 ,累计值,0x00000000,BRC(1-4),0x00,BRC5,-1,-1,-1,-1,-1,-1,-1,0
16,M_IT_TA_1 ,带短时标的累计值,0x00000000,BRC(1-4),0x00,BRC5,-1,-1,-1,-1,0,0,0,0
17,M_EP_TA_1 ,带时标的继电保护或重合闸设备单个事件,0x00,SPE,0x0000,毫秒(1-2),-1,-1,-1,-1,0,0,0,0
18,M_EP_TB_1 ,带时标的继电保护装置成组启动事件,0x0000,SPEQDP,0x0000,毫秒(1-2),-1,-1,-1,-1,0,0,0,0
19,M_EP_TC_1 ,带时标的继电保护装置成组输出电路信息事件,0x0000,QCIQDC,0x0000,毫秒(1-2),-1,-1,-1,-1,0,0,0,0
20,M_PS_NA_1 ,具有状态变位检出的成组单点信息,0x00000000,SCQ(1-4),0x00,QDS,0,0,0,0,0,0,0,0
21,M_ME_ND_1 ,不带品质描述的规一化值 ,0x0000,NVA(1-2),-1,-1,0,0,0,0,0,0,0,0
30,M_SP_TB_1 ,带 CP56Time2a 时标的单点信息,0x00,SIQ,-1,-1,0,0,0,0,0,0,0,0
31,M_DP_TB_1 ,带 CP56Time2a 时标的双点信息,0x00,DIQ,-1,-1,0,0,0,0,0,0,0,0
32,M_ST_TB_1 ,带 CP56Time2a 时标的步位置信息,0x00,VIT,0x00,QDS,0,0,0,0,0,0,0,0
33,M_BO_TB_1 ,带 CP56Time2a 时标的 32 比特串,0x00000000,BSI(1-4),0x00,QDS,0,0,0,0,0,0,0,0
34,M_ME_TD_1 ,带 CP56Time2a 时标的测量值规一化值,0x0000,NVA(1-2),0x00,QDS,0,0,0,0,0,0,0,0
35,M_ME_TE_1 ,带 CP56Time2a 时标的测量值标度化值,0x0000,SVA(1-2),0x00,QDS,0,0,0,0,0,0,0,0
36,M_ME_TF 1,带 CP56Time2a 时标的测量值短浮点数,0x00000000,STD(1-4),0x00,QDS,0,0,0,0,0,0,0,0
37,M_IT_TB_1,带 CP56Time2a 时标的累计量,0x00000000,BRC(1-4),0x00,BRC5,0,0,0,0,0,0,0,0
38,M_EP_TD_1,带 CP56Time2a 时标的继电保护设备事件,0x00,SPE,0x0000,毫秒(1-2),0,0,0,0,0,0,0,0
39,M_EP_TE_1,带 CP56Time2a 时标的继电保护设备成组启动事件,0x0000,SPEQDP,0x0000,毫秒(1-2),0,0,0,0,0,0,0,0
40,M_EP_TF _1,带 CP56Time2a 时标的继电保拌装置成组输出电路信息,0x0000,QCIQDC,0x0000,毫秒(1-2),0,0,0,0,0,0,0,0
70,M_EI_NA_1 ,初始化结束,0x00,CQI,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
