对话框标题,装置地址,起始通道号,结束通道号,数据代码,起始代码,结束代码,数据值,年,月,日,时,分,秒,毫秒
SPA主站读备份事件(B),0,-1,-1,B,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读装置状态(C),0,-1,-1,C,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读装置型号(F),0,-1,-1,F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读输入数据(I),0,0,0,I,0,0,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读当前事件(L),0,-1,-1,L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读内存(M),0,0,0,M,0,0,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读输出数据(O),0,0,0,O,0,0,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读数值(S),0,0,0,S,0,0,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站读内部变量(V),0,0,0,V,0,0,-1,-1,-1,-1,-1,-1,-1,-1
SPA主站写装置状态（C）,0,-1,-1,C,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
SPA主站写同步日期（D）,0,-1,-1,D,-1,-1,-1,0,0,0,0,0,0,0
SPA主站写内存（M）,0,0,0,M,0,0,0,-1,-1,-1,-1,-1,-1,-1
SPA主站写输出数据（O）,0,0,0,O,0,0,0,-1,-1,-1,-1,-1,-1,-1
SPA主站设置数值（S）,0,0,0,S,0,0,0,-1,-1,-1,-1,-1,-1,-1
SPA主站同步时间（T）,0,-1,-1,T,-1,-1,-1,-1,-1,-1,-1,-1,0,0
SPA主站写内部变量（V）,0,0,0,V,0,0,0,-1,-1,-1,-1,-1,-1,-1
自定义帧,0,-1,-1,-1,-1,-1,RF,-1,-1,-1,-1,-1,-1,-1
